"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"16","wks01-erik","System.Byte[]","2322","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'35', '\SystemRoot\System32\config\DRIVERS', '32', '17'","Microsoft-Windows-Kernel-General","System.String[]","16","12/12/2023 9:37:26 PM","12/12/2023 9:37:26 PM","NT AUTHORITY\SYSTEM",,
"19","wks01-erik","System.Byte[]","2321","(1)","1","Information","Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.403.396.0) - Current Channel (Broad)","Microsoft-Windows-WindowsUpdateClient","System.String[]","19","12/12/2023 9:16:32 PM","12/12/2023 9:16:32 PM","NT AUTHORITY\SYSTEM",,
"43","wks01-erik","System.Byte[]","2320","(1)","1","Information","Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.403.396.0) - Current Channel (Broad)","Microsoft-Windows-WindowsUpdateClient","System.String[]","43","12/12/2023 9:16:04 PM","12/12/2023 9:16:04 PM","NT AUTHORITY\SYSTEM",,
"44","wks01-erik","System.Byte[]","2319","(1)","1","Information","Windows Update started downloading an update.","Microsoft-Windows-WindowsUpdateClient","System.String[]","44","12/12/2023 9:15:59 PM","12/12/2023 9:15:59 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2318","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/12/2023 8:02:36 PM","12/12/2023 8:02:36 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2317","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/12/2023 8:00:30 PM","12/12/2023 8:00:30 PM","NT AUTHORITY\SYSTEM",,
"16","wks01-erik","System.Byte[]","2316","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'45', '\??\C:\Windows\AppCompat\Programs\Amcache.hve', '506', '194'","Microsoft-Windows-Kernel-General","System.String[]","16","12/12/2023 5:42:23 PM","12/12/2023 5:42:23 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2315","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/12/2023 5:29:35 PM","12/12/2023 5:29:35 PM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2314","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/12/2023 5:27:26 PM","12/12/2023 5:27:26 PM","NT AUTHORITY\SYSTEM",,
"6013","wks01-erik","System.Byte[]","2313","(0)","0","Information","The system uptime is 4461565 seconds.","EventLog","System.String[]","2147489661","12/12/2023 12:00:00 PM","12/12/2023 12:00:00 PM",,,
"16","wks01-erik","System.Byte[]","2312","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'41', '\??\C:\Windows\System32\config\COMPONENTS', '15', '2'","Microsoft-Windows-Kernel-General","System.String[]","16","12/12/2023 6:46:40 AM","12/12/2023 6:46:40 AM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2311","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/12/2023 5:02:36 AM","12/12/2023 5:02:36 AM","NT AUTHORITY\SYSTEM",,
"7040","wks01-erik","System.Byte[]","2310","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/12/2023 5:00:30 AM","12/12/2023 5:00:30 AM","NT AUTHORITY\SYSTEM",,
