"State","AppliedSetting","OffloadState","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AggregationBehavior","Directionality","CreationTime","LocalAddress","LocalPort","OwningProcess","RemoteAddress","RemotePort","PSComputerName"
"Listen",,"InHost",,,,"::++49670++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:22 PM","::","49670","660","::","0",
"Listen",,"InHost",,,,"::++49669++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:19 PM","::","49669","652","::","0",
"Listen",,"InHost",,,,"::++49667++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:17 PM","::","49667","1104","::","0",
"Listen",,"InHost",,,,"::++49666++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:16 PM","::","49666","1568","::","0",
"Listen",,"InHost",,,,"::++49665++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:15 PM","::","49665","1212","::","0",
"Listen",,"InHost",,,,"::++49664++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:13 PM","::","49664","516","::","0",
"Listen",,"InHost",,,,"::++445++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:19 PM","::","445","4","::","0",
"Listen",,"InHost",,,,"::++135++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:13 PM","::","135","916","::","0",
"Bound",,"InHost",,,,"0.0.0.0++55084++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/12/2023 11:06:23 PM","0.0.0.0","55084","2408","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++54995++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/12/2023 10:07:48 PM","0.0.0.0","54995","2408","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++54738++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/12/2023 6:24:01 AM","0.0.0.0","54738","2436","0.0.0.0","0",
"Established","Internet","InHost",,,,"10.0.17.101++55084++140.82.112.26++443",,,,,,,,,,,,"2",,,"5",,"12",,,"12/12/2023 11:06:23 PM","10.0.17.101","55084","2408","140.82.112.26","443",
"Established","Internet","InHost",,,,"10.0.17.101++54995++172.253.122.188++5228",,,,,,,,,,,,"2",,,"5",,"12",,,"12/12/2023 10:07:48 PM","10.0.17.101","54995","2408","172.253.122.188","5228",
"Established","Internet","InHost",,,,"10.0.17.101++54738++52.159.126.152++443",,,,,,,,,,,,"2",,,"5",,"12",,,"12/12/2023 6:24:01 AM","10.0.17.101","54738","2436","52.159.126.152","443",
"Listen",,"InHost",,,,"0.0.0.0++49670++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:22 PM","0.0.0.0","49670","660","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49669++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:19 PM","0.0.0.0","49669","652","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49667++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:17 PM","0.0.0.0","49667","1104","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49666++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:16 PM","0.0.0.0","49666","1568","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49665++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:15 PM","0.0.0.0","49665","1212","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49664++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:13 PM","0.0.0.0","49664","516","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++5040++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/11/2023 8:42:12 PM","0.0.0.0","5040","1488","0.0.0.0","0",
"Listen",,"InHost",,,,"10.0.17.101++139++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:16 PM","10.0.17.101","139","4","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++135++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"10/21/2023 9:39:13 PM","0.0.0.0","135","916","0.0.0.0","0",
